Designator,Mid X,Mid Y,Layer,Rotation
C1,26.000000,0.000000,top,0
C2,24.000000,8.000000,top,0
C3,28.000000,14.000000,top,0
C4,40.000000,-10.000000,top,180
C5,49.000000,8.000000,top,0
C6,31.000000,17.000000,top,0
D1,27.000000,-14.000000,top,90
D2,46.000000,-20.000000,top,90
D3,47.500000,-8.800000,top,90
D4,46.500000,-10.200000,top,90
D5,47.500000,-6.000000,top,90
D6,47.500000,-7.400000,top,90
F1,-47.000000,-13.000000,top,90
R1,31.000000,14.000000,top,0
R2,51.000000,-15.000000,top,0
R3,-8.000000,-21.000000,top,0
R4,-2.000000,-21.000000,top,0
U2,30.000000,8.000000,top,180
